challenge_id,correct_answer,possible_answers,image_path
ade3852f-1bf4-4791-9f8e-e6eb77858e30,death,death;double death;triple death,path2.png
d95776ea-122b-49df-93fb-9d8996f9c7db,death,death;double death;triple death,path1.jpeg
2e1ae6cb-923e-4e1a-91ae-5b4af447a1e2,death,death;double death;triple death,path2.png
d62d8dbc-6f09-4848-b37d-2981ae8d4f25,death,death;double death;triple death,path2.png
bdf6ce21-9ce1-4f01-8d66-fd84b5411747,death,death;double death;triple death,path2.png
270a4ecc-650f-4e9f-afcd-46d665f85c14,death,death;double death;triple death,path2.png
5744bdfd-60a6-443f-be32-c9cad316d495,death,death;double death;triple death,path2.png
86f574ed-a344-4c0d-b494-c7916ff884ff,death,death;double death;triple death,path2.png
4cb5bc50-efbd-404e-a29c-8c81901c9336,death,death;double death;triple death,path2.png
2d1ba604-e0d3-473d-b685-c316a2f4ff46,death,death;double death;triple death,path2.png
3f817909-782c-446d-beaf-9b2c220bdc61,death,death;double death;triple death,path1.jpeg
510fe271-83e6-4ef3-90a7-cb45d171a4d8,death,death;double death;triple death,path1.jpeg
139d6de4-fb4d-4901-980f-4b7265e5a873,death,death;double death;triple death,path2.png
e5cfe1de-64cb-4494-8fb1-4ad2e93943e4,death,death;double death;triple death,path2.png
3d3c88f2-5142-4cbb-bb2c-eff513daba3d,death,death;double death;triple death,path1.jpeg
b02084f4-671c-447d-b5ad-e7d99348d894,death,death;double death;triple death,path2.png
864afc65-440f-4087-926d-fac8196cba2e,death,death;double death;triple death,path1.jpeg
26c82572-8631-44b0-bdb4-1f83388c70dc,death,death;double death;triple death,path1.jpeg
3b1a7f17-c839-44ac-96d7-28bc0588d226,death,death;double death;triple death,path2.png
842b65dd-327e-44bc-b9b3-b74d6faf7e0f,death,death;double death;triple death,path1.jpeg
e4577908-5c0d-46c5-afd2-e0e2836281a3,death,death;double death;triple death,path2.png
41a8ee8c-78a3-41c4-a21a-3cbe86cce11f,death,death;double death;triple death,path1.jpeg
f1ec614b-d27b-401b-bb27-42f7e0c39504,death,death;double death;triple death,path2.png
74d9cdcc-c5a6-4458-b214-e6d4efe4ea7c,death,death;double death;triple death,path2.png
e8016e89-5e55-4495-863a-ee113d117633,death,death;double death;triple death,path2.png
172a7b7c-54ac-4c0b-83ef-1f82c69c4f34,death,death;double death;triple death,path2.png
3c97bb9c-ddd4-47fa-87dc-f3f2b0c9e38d,death,death;double death;triple death,path1.jpeg
2733eb70-57f9-4356-899b-be165eb7bd37,death,death;double death;triple death,path2.png
64151c31-6a64-40b5-97ac-4cea0e0ffb4d,death,death;double death;triple death,path1.jpeg
8157cde6-ba21-4231-ab2c-e07a84eff8c2,death,death;double death;triple death,path2.png
a6696f54-d71c-4840-b0d1-16f3f51575b0,death,death;double death;triple death,path1.jpeg
8ed8bf21-1389-4936-b00c-1bd3e9f8a6db,death,death;double death;triple death,path2.png
e16a3431-8ca3-488d-adc4-8f3250b65e02,death,death;double death;triple death,path1.jpeg
67d17949-ab3f-489c-818f-2b4cc669badc,death,death;double death;triple death,path2.png
67c31b82-9ba2-495b-b549-018de6a1f320,death,death;double death;triple death,path2.png
0cd0b048-f3fe-4f8b-8f04-3af512175651,death,death;double death;triple death,path2.png
84cd3c5c-a384-49e2-9a53-e5d61ff3b4ef,death,death;double death;triple death,path2.png
0af2e362-8eac-44df-aab8-f72d52c867ef,death,death;double death;triple death,path1.jpeg
9d4cab7f-ec0f-4b26-bbe0-4f5b8ad016c3,death,death;double death;triple death,path1.jpeg
abc0c9e7-ca77-4916-aa50-5858576bebb9,death,death;double death;triple death,path1.jpeg
9b54d395-fb67-4390-9eca-28f92ed1ac05,death,death;double death;triple death,path2.png
aa2a0f9c-1060-4e45-9de0-f60689a989a5,death,death;double death;triple death,path1.jpeg
52a88382-d697-4c98-8abc-280ea3fc0de3,death,death;double death;triple death,path2.png
f552d455-5021-4d04-b31f-e32ed59439de,death,death;double death;triple death,path2.png
eda668e7-2f2d-49a0-99b4-496afe6de8c5,death,death;double death;triple death,path1.jpeg
c5b1c23f-d519-451e-af0f-47f9326750ca,death,death;double death;triple death,path1.jpeg
a5a88aeb-afd8-40a1-b347-31aded1b3321,death,death;double death;triple death,path2.png
cd16dfcf-b5e2-483d-a82c-17484a516884,death,death;double death;triple death,path1.jpeg
a23275a6-a5fd-45fb-9c86-9973bdab2a1e,death,death;double death;triple death,path1.jpeg
